School,Conference,Attendance_Pct_FB,5_Year_Pct_Change,Majority_city,Instagram_Followers_FB (Thousands),Instagram_Followers_BB (Thousands),Donation_Revenue (Millions),Season_Ticket_Price,Win_Pct_Since_2003,Win_Val_AllTime_Fb,Win_Pct_AllTime_Fb,Graduate_Earnings(Thousands),Attendence_Pct_MBB,WBB_Capacity_Pct,Total_Revenue,Football_Revenue,MBB_Revenue,WBB_Revenue,Rights_Licensing,Football_Expense,MBB_Expense,WBB_Expense,Ticket_Sales_Pct,Football_Stadium_Capacity(22-25),Data_Complete,Alumni_amount,City 1,City 2,City 3,Occupation,Regional_occuptation,Regional_income,Regional _Populations,City 1_lat,City 1_lon,City 2_lat,City 2_lon,City 3_lat,City 3_lon
Minnesota,Big Ten,91.56,-0.29,"Twin Cities, MN ",164,58.6,29.4,,53.3,0.573,57.3,72,65.3,,,,,,,,,,,92.71,NO,289094,"Minneapolis, MN","St.Paul, MN",,,Home health and personal care aids,,,44.9772995,-93.2654692,44.9497487,-93.0931028,,
Nebraska,Big Ten,101.28,-0.71,"Lincoln, NE",320,116.0,46.3,,55.6,0.676,67.6,63,95.7,,,,,,,,,,,101.58,NO,"153,227","Lincoln, NE","Omaha, NE",,,Fast food and Counter Workers,,,40.8088861,-96.7077751,41.2587459,-95.9383758,,
Ohio State,Big Ten,101.29,1.5,"Columbus, OH",1500,226.0,58.55,,85.1,0.737,73.7,71,65.6,,,,,,,,,,,101.4,NO,383073,"Columbus, OH","Cleveland, OH",,,Fast food and Counter Workers,,,39.9622601,-83.0007065,41.4996574,-81.6936772,,
Oregon,Big Ten,108.49,7.29,"Portland, Oregon",298,127.0,45.88,,74.5,0.584,58.4,62,55.0,,,,,,,,,,,106.04,NO,153476,"Portland, OR","Eugene, OR",,,Fast food and Counter Workers,,,45.5202471,-122.674194,44.0505054,-123.0950506,,
Penn State,Big Ten,100.49,-0.22,"Philadelphia, PA",698,69.0,39.03,,67.2,0.689,68.9,77,51.8,,,,,,,,,,,101.47,NO,524803,"Philadelphia, PA","New York City, NY",,,Fast food and Counter Workers,,,39.9527237,-75.1635262,40.7127281,-74.0060152,,
Purdue,Big Ten,92.09,-0.95,"Indianapolis, IN",130,189.0,23.08,,41.1,0.51,51.0,82,100.0,,,,,,,,,,,95.68,NO,360193,"Indianapolis, IN","Lafayette, IN",,,Misc Assemblers ,,,39.7683331,-86.1583502,40.4191229,-86.8919011,,
Rutgers,Big Ten,92.38,8.62,"New York City, NY",138,81.0,8.72,,46.6,0.491,49.1,78,101.5,,,,,,,,,,,93.74,NO,265337,"New York City, NY","New Brunswick, NJ",,,Home health and personal care aids,,,40.7127281,-74.0060152,40.4951365,-74.4439254,,
UCLA,Big Ten,41.56,-17.52,"Los Angeles, CA",248,227.0,16.01,,51.2,0.58,58.0,78,57.2,,,,,,,,,,,50.34,NO,"562,643","Los Angeles, CA",San Franciso,,Business Development,Home health and personal care aids,,,34.0536909,-118.242766,12.7455071,-84.9639702,,
USC,Big Ten,87.46,6.68,"Los Angeles, CA",325,145.0,,,71.7,0.694,69.4,95,42.5,,,,,,,,,,,91.55,NO,"381,262","Los Angeles, CA",San Franciso,,Business Development,Home health and personal care aids,,,34.0536909,-118.242766,12.7455071,-84.9639702,,
Washington,Big Ten,97.37,3.11,"Seattle, WA",261,66.5,36.06,,54.2,0.619,61.9,83,68.6,,,,,,,,,,,96.11,NO,"391,997","Seattle, WA",California,,Business Development,Software Developer,"112,400","781,000",47.6038321,-122.330062,36.7014631,-118.755997,,
Wisconsin,Big Ten,92.57,-6.27,"Madison, WI",340,211.0,33.67,,68.2,0.582,58.2,79,88.2,,,,,,,,,,,99.14,NO,"310,121","Madison, WI","Milwaukee, WI",,Business Development,Registered Nurses,,,43.07469,-89.3841663,43.0386475,-87.9090751,,
Alabama,SEC,99.99,0.28,"Birmingham, AL",1500,230.0,59.63,100.0,80.5,0.733,73.3,70,76.5,18.2,209.15,130.67,20.31,3.77,83.99,89.01,13.02,4.84,18.0,99.73,PARTIAL,187526,"Tuscaloosa, AL",Birmingham AL,,Business Development,,,,33.2095614,-87.5675258,33.5712655,-86.7657858,,
Arkansas,SEC,91.54,6.32,"Feyetteville, AR",295,253.0,29.8,,48.8,0.572,57.2,69,98.2,,,,,,,,,,,93.63,NO,154607,"Fayettville, AR",Texas,,Operations ,Management,"70,600",271217,,,31.2638905,-98.5456116,,
Auburn,SEC,100.0,1.62,"Auburn, AL",448,231.0,41.97,,62.2,0.621,62.1,73,100.0,,,,,,,,,,,99.19,NO,197311,Columbus Area,,,Business Development,Management,"65,824",181000,8.3186176,-13.0441486,,,,
Florida,SEC,101.78,3.2,"Miami, FL",573,207.0,54.65,,64.6,0.623,62.3,77,89.5,,,,,,,,,,,100.74,NO,376215,"Gainseville, FL","Miami, FL",,Business Development,,,,28.971502,-82.4881542,25.7741566,-80.1935973,,
Georgia,SEC,100.0,0.23,"Atlanta, GA",1200,112.0,83.85,,78.3,0.669,66.9,74,76.3,,,,,,,,,,,100.16,NO,203639,"Atlanta, GA","Athens, GA",,Business Development,,,,33.7544657,-84.3898151,33.9597677,-83.376398,,
Kentucky,SEC,94.72,-0.44,"Lexington, KY",239,574.0,42.5,,47.0,0.496,49.6,66,96.6,,,,,,,,,,,98.47,NO,"176,236","Lexington, KY ","Louisville, KY",,Business Development,,,,38.0464066,-84.4970393,38.2542376,-85.759407,,
LSU,SEC,99.27,2.29,"Baton Rouge, LA",1300,143.0,73.15,,74.6,0.49,49.0,67,69.9,,,,,,,,,,,79.85,NO,218524,"Baton Rouge, LA",,,Business Development,,,,30.4494155,-91.1869659,,,,
Mississippi State,SEC,88.19,1.21,"Starkville, MS",209,58.3,26.18,,48.4,0.49,49.0,59,74.0,,,,,,,,,,,84.29,NO,"119,087","Jackson, MS","Starkville, MS",,Operations ,Sales,"46,695",51896,32.2998686,-90.1830408,33.4638745,-88.8152074,,
Missouri,SEC,91.54,3.1,"St. Louis, MO",225,92.0,31.63,,61.4,0.547,54.7,70,66.1,,,,,,,,,,,96.95,NO,199441,"St. Louis, MO",Columbus MO,,Business Development,Health care and Social Assistance,"72,758","191,746",38.6254063,-90.190009,38.8586209,-93.8907752,,
Oklahoma,SEC,104.25,1.34,"Oklahoma City, OK",627,106.0,62.6,,77.3,0.723,72.3,73,64.0,,,,,,,,,,,104.4,NO,"174,964","Oklahoma City, OK","Norman, OK",,Business Development,,,,35.4729886,-97.5170536,35.2225717,-97.4394816,,
South Carolina,SEC,102.29,4.21,"Columbia, SC",353,86.4,34.48,,55.2,0.509,50.9,68,59.5,,,,,,,,,,,100.66,NO,189192,"Columbia, SC",,,Business Development,Fast food and Counter Workers,"63,784",434956,34.000754,-81.0352313,,,,
Tennessee,SEC,100.0,6.47,"Knoxville, TN",808,265.0,59.0,,57.8,0.67,67.0,68,87.7,,,,,,,,,,,99.66,NO,187713,"Knoxville, TN","Nashville, TN",,Business Development,,,,35.9603948,-83.9210261,36.1622767,-86.7742984,,
Texas,SEC,102.24,3.93,"Austin, TX",1200,155.0,101.41,,69.0,0.704,70.4,79,112.5,,,,,,,,,,,101.53,NO,"488,312","Austin, TX",Houston TX,,Business development,General Managers,,,30.2711286,-97.7436995,29.7589382,-95.3676974,,
Texas A&M,SEC,103.33,5.36,"Houston, TX",449,74.2,86.1,,60.2,0.605,60.5,76,69.6,,,,,,,,,,,97.86,NO,"653,150","Houston, TX","Dallas, TX",,Business Development,,,,29.7589382,-95.3676974,32.7762719,-96.7968559,,
Ole Miss,SEC,104.27,11.93,"Oxford, MS",373,68.0,36.73,,55.6,0.557,55.7,66,72.7,,,,,,,,,,,98.95,,"107,625","Oxford, MS",,,Business Development,Cashiers/Retail salespersons,"67,185",59597,34.3663773,-89.5187664,,,,
