School,Conference,Attendance_Pct_FB,5_Year_Pct_Change,Majority_city,Instagram_Followers_FB (Thousands),Instagram_Followers_BB (Thousands),Donation_Revenue (Millions),Season_Ticket_Price,Win_Pct_Since_2003,Win_Val_AllTime_Fb,Win_Pct_AllTime_Fb,Graduate_Earnings(Thousands),Attendence_Pct_MBB,WBB_Capacity_Pct,Total_Revenue,Football_Revenue,MBB_Revenue,WBB_Revenue,Rights_Licensing,Football_Expense,MBB_Expense,WBB_Expense,Ticket_Sales_Pct,Football_Stadium_Capacity(22-25),Data_Complete,Alumni_amount,City 1,City 2,City 3,Occupation,Regional_occuptation,Regional_income,Regional _Populations
Cincinnati,Big 12,94.65,-3.22,"Cincinnati, OH",131,62.4,13.23,,62.8,0.519,51.9,72,82.5,,,,,,,,,,,98.08,NO,"206,125","Cincinnati, OH","Columbus, OH",,Operations ,Fast food and Counter Workers,,
Colorado,Big 12,100.57,3.17,"Denver, CO",1100,53.4,19.62,,37.8,0.567,56.7,77,61.3,,,,,,,,,,,100.16,NO,"232,923","Denver, CO","Boulder, CO",,Business Development,,,
Iowa State,Big 12,98.96,2.77,"Des Moines, IA",126,89,29.66,,45.1,0.506,50.6,68,94.2,,,,,,,,,,,94.92,NO,"183,495","Des Moines, IA","Ames, IA",,Operations ,,,
Kansas,Big 12,95.07,7.12,"Kansas City, KS",147,325,28.84,,34.7,0.565,56.5,70,104.3,,,,,,,,,,,104.93,NO,"173,540","Kansas City, KS","Lawrence, KS",,Business Development,General and Operations Manager,"69,958","516,032"
Kansas State,Big 12,103.55,3.61,"Kansas City, KS",113,69.1,29.27,,58.6,0.529,52.9,65,75.2,,,,,,,,,,,103.09,NO,"152,708","Kansas City, KS","Manhattan, KS",,Business Development,General and Operations Manager,"69,958","516,032"
Oklahoma State,Big 12,85.39,-16.88,"Tulsa, OK",176,57,43.05,,63.3,0.571,57.1,65,53.6,,,,,,,,,,,101.23,NO,"178,368","Tulsa, OK","Oklahoma City, OK",,Business Development,Fast food and Counter Workers,"70,459","1,059,803"
Texas Tech,Big 12,99.86,9.03,"Dallas Fort-Worth, TX",258,134,39.27,,57.9,0.516,51.6,66,87.7,,,,,,,,,,,96.51,NO,"205,412","Dallas Fort-Worth, TX","Lubbock, TX",,Business Development,General and Operations Manager,"93,360","8,340,000"
UCF,Big 12,98.2,1.99,"Orlando, FL",206,67.2,14.8,,56.4,0.483,48.3,61,63.1,,,,,,,,,,,96.47,NO,"317,653","Orlando, FL","Miami, FL",,Operations ,Retail Salesperson,"74,568","2,940,000"
Utah,Big 12,100.5,16.32,"Salt Lake CIty, UT",216,42.2,31.16,,68.9,0.597,59.7,75,49.8,,,,,,,,,,,102.44,NO,"178,724","Salt Lake City, UT",,,Business Development,,,
West Virginia,Big 12,87.23,5.32,"Morgantown, WV",233,110,21.61,50,61.6,0.591,59.1,65,82,22.6,102.07,44.81,9.96,3.78,57.31,23.14,10.67,4.73,18,84.89,PARTIAL,"160,683","Morgan Town, WV",Washington DC,,Operations ,Registered Nurses,"44,727","30,236"
Illinois,Big Ten,96.18,32.96,"Chicago, IL",172,178,44.72,,39.6,0.507,50.7,80,96.2,,,,,,,,,,,83.34,NO,"391,377","Chicago, IL","Urbana, IL","Champaign, IL",,Registered Nurses,,
Indiana,Big Ten,97.26,12.23,"Indianapolis, IN",297,194,35.3,,42.7,0.497,49.7,75,92.3,,,,,,,,,,,88.99,NO,283092,"Indianapolis, IN","Bloomington, IN","Chicago, IL",,Misc Assemblers ,,
Iowa,Big Ten,100,1.81,"Cedar Rapids, IA",261,124,40.5,,65.2,0.547,54.7,70,72.3,,,,,,,,,,,100,NO,170721,"Cedar Rapids, IA","Iowa City, IA","Chicago, IL",,Registered Nurses,,
Maryland,Big Ten,88.26,10.67,"Washington, DC",125,108,10.34,,46,0.516,51.6,84,75.1,,,,,,,,,,,69.65,NO,325688,"Washington, DC","Baltimore, MD",,,General  and Operations Managers,,
Michigan,Big Ten,103.3,0.58,"Detroit, MI",861,318,44.11,82,68,0.732,73.2,96,93.7,31.7,212.84,141.09,21,0.83,91.65,64.13,12.83,5.46,24,102.53,PARTIAL,390211,"Detroit, MI","New York City, NY",,,"Teaching assistants, Postsecondary",,
Michigan State,Big Ten,94.02,2.75,"Detroit, MI",332,295,45.16,,58.2,0.588,58.8,74,100,,,,,,,,,,,89.99,NO,348892,"Detroit, MI","Lancing, MI",,,Fast food and Counter Workers,,
Minnesota,Big Ten,91.56,-0.29,"Twin Cities, MN ",164,58.6,29.4,,53.3,0.573,57.3,72,65.3,,,,,,,,,,,92.71,NO,289094,"Minneapolis, MN","St.Paul, MN",,,Home health and personal care aids,,
Nebraska,Big Ten,101.28,-0.71,"Lincoln, NE",320,116,46.3,,55.6,0.676,67.6,63,95.7,,,,,,,,,,,101.58,NO,"153,227","Lincoln, NE","Omaha, NE",,,Fast food and Counter Workers,,
Ohio State,Big Ten,101.29,1.5,"Columbus, OH",1500,226,58.55,,85.1,0.737,73.7,71,65.6,,,,,,,,,,,101.4,NO,383073,"Columbus, OH","Cleveland, OH",,,Fast food and Counter Workers,,
Oregon,Big Ten,108.49,7.29,"Portland, Oregon",298,127,45.88,,74.5,0.584,58.4,62,55,,,,,,,,,,,106.04,NO,153476,"Portland, OR","Eugene, OR",,,Fast food and Counter Workers,,
Penn State,Big Ten,100.49,-0.22,"Philadelphia, PA",698,69,39.03,,67.2,0.689,68.9,77,51.8,,,,,,,,,,,101.47,NO,524803,"Philadelphia, PA","New York City, NY",,,Fast food and Counter Workers,,
Purdue,Big Ten,92.09,-0.95,"Indianapolis, IN",130,189,23.08,,41.1,0.51,51,82,100,,,,,,,,,,,95.68,NO,360193,"Indianapolis, IN","Lafayette, IN",,,Misc Assemblers ,,
Rutgers,Big Ten,92.38,8.62,"New York City, NY",138,81,8.72,,46.6,0.491,49.1,78,101.5,,,,,,,,,,,93.74,NO,265337,"New York City, NY","New Brunswick, NJ",,,Home health and personal care aids,,
UCLA,Big Ten,41.56,-17.52,"Los Angeles, CA",248,227,16.01,,51.2,0.58,58,78,57.2,,,,,,,,,,,50.34,NO,"562,643","Los Angeles, CA",San Franciso,,Business Development,Home health and personal care aids,,
USC,Big Ten,87.46,6.68,"Los Angeles, CA",325,145,,,71.7,0.694,69.4,95,42.5,,,,,,,,,,,91.55,NO,"381,262","Los Angeles, CA",San Franciso,,Business Development,Home health and personal care aids,,
Washington,Big Ten,97.37,3.11,"Seattle, WA",261,66.5,36.06,,54.2,0.619,61.9,83,68.6,,,,,,,,,,,96.11,NO,"391,997","Seattle, WA",California,,Business Development,Software Developer,"112,400","781,000"
Wisconsin,Big Ten,92.57,-6.27,"Madison, WI",340,211,33.67,,68.2,0.582,58.2,79,88.2,,,,,,,,,,,99.14,NO,"310,121","Madison, WI","Milwaukee, WI",,Business Development,Registered Nurses,,
Alabama,SEC,99.99,0.28,"Birmingham, AL",1500,230,59.63,100,80.5,0.733,73.3,70,76.5,18.2,209.15,130.67,20.31,3.77,83.99,89.01,13.02,4.84,18,99.73,PARTIAL,187526,"Tuscaloosa, AL",Birmingham AL,,Business Development,,,
Arkansas,SEC,91.54,6.32,"Feyetteville, AR",295,253,29.8,,48.8,0.572,57.2,69,98.2,,,,,,,,,,,93.63,NO,154607,"Fayettville, AR",Texas,,Operations ,Management,"70,600",271217
Auburn,SEC,100,1.62,"Auburn, AL",448,231,41.97,,62.2,0.621,62.1,73,100,,,,,,,,,,,99.19,NO,197311,Columbus Area,,,Business Development,Management,"65,824",181000
Florida,SEC,101.78,3.2,"Miami, FL",573,207,54.65,,64.6,0.623,62.3,77,89.5,,,,,,,,,,,100.74,NO,376215,"Gainseville, FL","Miami, FL",,Business Development,,,
Georgia,SEC,100,0.23,"Atlanta, GA",1200,112,83.85,,78.3,0.669,66.9,74,76.3,,,,,,,,,,,100.16,NO,203639,"Atlanta, GA","Athens, GA",,Business Development,,,
Kentucky,SEC,94.72,-0.44,"Lexington, KY",239,574,42.5,,47,0.496,49.6,66,96.6,,,,,,,,,,,98.47,NO,"176,236","Lexington, KY ","Louisville, KY",,Business Development,,,
LSU,SEC,99.27,2.29,"Baton Rouge, LA",1300,143,73.15,,74.6,0.49,49,67,69.9,,,,,,,,,,,79.85,NO,218524,"Baton Rouge, LA",,,Business Development,,,
Mississippi State,SEC,88.19,1.21,"Starkville, MS",209,58.3,26.18,,48.4,0.49,49,59,74,,,,,,,,,,,84.29,NO,"119,087","Jackson, MS","Starkville, MS",,Operations ,Sales,"46,695",51896
Missouri,SEC,91.54,3.1,"St. Louis, MO",225,92,31.63,,61.4,0.547,54.7,70,66.1,,,,,,,,,,,96.95,NO,199441,"St. Louis, MO",Columbus MO,,Business Development,Health care and Social Assistance,"72,758","191,746"
Oklahoma,SEC,104.25,1.34,"Oklahoma City, OK",627,106,62.6,,77.3,0.723,72.3,73,64,,,,,,,,,,,104.4,NO,"174,964","Oklahoma City, OK","Norman, OK",,Business Development,,,
South Carolina,SEC,102.29,4.21,"Columbia, SC",353,86.4,34.48,,55.2,0.509,50.9,68,59.5,,,,,,,,,,,100.66,NO,189192,"Columbia, SC",,,Business Development,Fast food and Counter Workers,"63,784",434956
Tennessee,SEC,100,6.47,"Knoxville, TN",808,265,59,,57.8,0.67,67,68,87.7,,,,,,,,,,,99.66,NO,187713,"Knoxville, TN","Nashville, TN",,Business Development,,,
Texas,SEC,102.24,3.93,"Austin, TX",1200,155,101.41,,69,0.704,70.4,79,112.5,,,,,,,,,,,101.53,NO,"488,312","Austin, TX",Houston TX,,Business development,General Managers,,
Texas A&M,SEC,103.33,5.36,"Houston, TX",449,74.2,86.1,,60.2,0.605,60.5,76,69.6,,,,,,,,,,,97.86,NO,"653,150","Houston, TX","Dallas, TX",,Business Development,,,
Ole Miss,SEC,104.27,11.93,"Oxford, MS",373,68,36.73,,55.6,0.557,55.7,66,72.7,,,,,,,,,,,98.95,,"107,625","Oxford, MS",,,Business Development,Cashiers/Retail salespersons,"67,185",59597
